"id","hair_type","age","created","value"
"2d3f90ca-e262-4b32-8b57-80fb0170bf5a","ondulado",20,"2022-01-05 00:00:00+00",70.33
"3cb90d19-02a1-43f3-a36f-b421e41b3d2f","ondulado",30,"2022-01-05 00:27:32.980132+00",51.44
"1cd08ffd-4e85-4f1d-bdc1-afb292b056db","cacheado",38,"2022-01-05 00:55:05.960265+00",56.83
"d518ff19-df6a-445f-a13c-8b45b2addd7b","cacheado",20,"2022-01-05 01:22:38.940397+00",91.51
"c2baa4bc-9fe3-4cfe-809f-c52a728fa5bb","ondulado",29,"2022-01-05 01:50:11.92053+00",54.35
"ef9d7cb9-685f-4df1-bd6a-add35c40db23","liso",31,"2022-01-05 02:17:44.900662+00",97.71
"c546c8eb-0851-4d8f-a47f-df24320b74be","crespo",46,"2022-01-05 02:45:17.880795+00",64.31
"ce6dc01d-57cc-4e19-b6af-98bcdef54c13","ondulado",49,"2022-01-05 03:12:50.860927+00",99.91
"f6284bf8-747e-4863-b22d-2416d1069ccd","ondulado",37,"2022-01-05 03:40:23.84106+00",80.73
"64a3b896-fd6b-48ef-bf16-6477e6a0010b","liso",35,"2022-01-05 04:07:56.821192+00",54.75
"6da465b8-d58b-4808-9034-82e134524959","liso",42,"2022-01-05 04:35:29.801325+00",68.14
"7cc0ad25-11c1-4fbe-95bb-e2f90a595091","liso",26,"2022-01-05 05:03:02.781457+00",70.5
"6e586bed-f7e6-4882-bd29-305f94bb676e","liso",39,"2022-01-05 05:30:35.761589+00",83.06
"d291bd2e-a851-4377-808d-5be191a39098","crespo",66,"2022-01-05 05:58:08.741722+00",67.43
"1de64ea8-223e-4589-b161-e36115cde88b","cacheado",20,"2022-01-05 06:25:41.721854+00",64.5
"b766903f-98a5-420a-b36f-a6450479cbed","crespo",28,"2022-01-05 06:53:14.701987+00",67.56
"50266b71-af66-4822-a4b3-4449b8601d65","ondulado",24,"2022-01-05 07:20:47.682119+00",70.17
"39e3090f-a186-4c4b-99c7-9f46a824524e","liso",24,"2022-01-05 07:48:20.662252+00",77.95
"242fa9d2-a010-435c-8ba7-ec81554bf638","ondulado",35,"2022-01-05 08:15:53.642384+00",57.22
"055da1a5-3d14-4793-a66d-7638a87df238","crespo",38,"2022-01-05 08:43:26.622517+00",59.64
"467bbfdb-b94f-4bb0-b9db-69079ad8f5a0","liso",40,"2022-01-05 09:10:59.602649+00",96.13
